,DOBEC,OBEC,OKRES,PSC,DPOSTA,POSTA,KOD_OKR,KRAJ,LAT,LNG
1095,Hrašovík,Hrašovík,Košice-okolie,044 42,Rozhanovce,Rozhanovce,806,KI,48.7471691,21.3217104
1096,Hrboltová,Hrboltová,Ružomberok,034 01,Ružomberok 1,Ružomberok 1,508,ZI,49.1030174,19.2452737
1097,Hrčeľ,Hrčeľ,Trebišov,076 15,Veľaty,Veľaty,811,KI,48.5227851,21.687938
1098,Hrhov,Hrhov,Rožňava,049 44,Hrhov,Hrhov,808,KI,48.6054018,20.7501214
1099,Hriadky,Hriadky,Trebišov,076 22,Vojčice,Vojčice,811,KI,48.699931,21.7068167
1100,Hričovské Podhradie,Hričovské Podhradie,Žilina,013 41,Dolný Hričov,Dolný Hričov,511,ZI,49.22142210000001,18.6221981
1101,Hriňová,Hriňová,Detva,962 05,Hriňová,Hriňová,604,BC,48.5785068,19.527121
1102,Hrišovce,Hrišovce,Gelnica,053 51,Kluknava,Kluknava,801,KI,48.9471307,20.9075744
1103,Hrkáč,Hrkáč,Rimavská Sobota,982 62,Gemerská Ves,Gemerská Ves,609,BC,48.4783729,20.2737261
1104,Hrkovce,Hrkovce,Levice,936 01,Šahy,Šahy,402,NI,48.0881584,18.9024405
1105,Hrlica,Hrlica,Revúca,982 66,Ratkovské Bystré,Ratkovské Bystré,608,BC,48.62849689999999,20.0507902
1106,Hrnčiarky,Hrnčiarky,Poltár,985 22,Cinobaňa,Cinobaňa,607,BC,48.5082701,19.6082502
1107,Hrnčiarovce nad Parnou,Hrnčiarovce n/Parnou,Trnava,919 35,Hrnčiarovce nad Parnou,Hrnčiarovce nad Par.,207,TA,48.370902,17.5833238
1108,Hrnčiarové,Hrnčiarové,Nové Mesto n.Váhom,916 12,Lubina,Lubina,304,TC,48.8065071,17.711132
1109,Hrnčiarska Ves,Hrnčiarska Ves,Poltár,980 13,Hrnčiarska Ves,Hrnčiarska Ves,607,BC,48.4314646,19.8601315
1110,Hrnčiarske Zalužany,Hrnčiarske Zalužany,Poltár,980 12,Hrnčiarske Zalužany,Hrnčiarske Zalužany,607,BC,48.4054697,19.8701666
1111,Hrochoť,Hrochoť,Banská Bystrica,976 37,Hrochoť,Hrochoť,601,BC,48.6550038,19.3124482
1112,Hromoš,Hromoš,Stará Ľubovňa,065 45,Plavnica,Plavnica,710,PV,49.2538636,20.7944922
1113,Hronec,Hronec,Brezno,976 45,Hronec,Hronec,603,BC,48.7949125,19.582098
1114,Hronovce,Hronovce,Levice,935 61,Hronovce,Hronovce,402,NI,48.0039919,18.6555571
1115,Hronsek,Hronsek,Banská Bystrica,976 31,Vlkanová,Vlkanová,601,BC,48.6504611,19.1559045
1116,Hronská Breznica,Hronská Breznica,Zvolen,966 11,Trnava Hora,Trnava Hora,611,BC,48.5690195,18.9975151
1117,Hronská Dúbrava,Hronská Dúbrava,Žiar nad Hronom,966 11,Trnava Hora,Trnava Hora,613,BC,48.5896888,19.001024
1118,Hronské Kľačany,Hronské Kľačany,Levice,,,Pozri zoz.ulíc s PSČ,402,NI,48.24044929999999,18.569637
1119,Hronské Kosihy,Hronské Kosihy,Levice,935 27,Hronské Kosihy,Hronské Kosihy,402,NI,48.2677876,18.594987
1120,Hronský Beňadik,Hronský Beňadik,Žarnovica,966 53,Hronský Beňadik,Hronský Beňadik,612,BC,48.3455825,18.5590363
1121,Hrubá Borša,Hrubá Borša,Senec,925 23,Jelka,Jelka,108,BL,48.1811959,17.4842047
1122,Hrubá Strana,Hrubá Strana,Nové Mesto n.Váhom,916 11,Bzince pod Javorinou,Bzince pod Javorinou,304,TC,48.8360676,17.7485566
1123,Hruboňovo,Hruboňovo,Nitra,951 25,Hruboňovo pri Nitre,Hruboňovo pri Nitre,403,NI,48.4395551,18.0235964
1124,Hrubov,Hrubov,Humenné,067 23,Baškovce pri Humennom,Baškovce pri Humen.,702,PV,49.09470659999999,21.8618035
1125,Hrubý Buk,Hrubý Buk,Čadca,023 52,Olešná pri Čadci,Olešná pri Čadci,502,ZI,49.46704279999999,18.6412205
1126,Hrubý Šúr,Hrubý Šúr,Senec,903 01,Senec,Senec,108,BL,48.1710706,17.4209774
1127,Hrušov,Hrušov,Veľký Krtíš,991 42,Hrušov,Hrušov,610,BC,48.1545599,19.0918153
1128,Hrušov,Hrušov,Rožňava,049 43,Jablonov nad Turňou,Jablonov nad Turňou,808,KI,48.5827514,20.63417
1129,Hrušov,Hrušov,Trebišov,076 37,Rad,Rad,811,KI,48.4340291,21.8586424
1130,Hrušovany,Hrušovany,Topoľčany,956 13,Koniarovce,Koniarovce,406,NI,48.4364585,18.0943658
1131,Hrušové,Hrušové,Nové Mesto n.Váhom,916 11,Bzince pod Javorinou,Bzince pod Javorinou,304,TC,48.77513870000001,17.7537229
1132,Hrušovo,Hrušovo,Rimavská Sobota,980 25,Hrušovo,Hrušovo,609,BC,48.512665,20.0497425
1133,Hruštín,Hruštín,Námestovo,029 52,Hruštín,Hruštín,507,ZI,49.3246546,19.3488432
1134,Hubice,Hubice,Dunajská Streda,930 39,Zlaté Klasy,Zlaté Klasy,201,TA,48.0958484,17.3971613
1135,Hubina,Hubina,Piešťany,922 21,Moravany nad Váhom,Moravany nad Váhom,204,TA,48.6171955,17.887925
1136,Hubošovce,Hubošovce,Sabinov,082 66,Uzovce,Uzovce,708,PV,49.0992915,21.2051
1137,Hubová,Hubová,Ružomberok,034 91,Ľubochňa,Ľubochňa,508,ZI,49.1183183,19.1886216
1138,Hubovo,Hubovo,Rimavská Sobota,980 50,Včelince,Včelince,609,BC,48.399089,20.3674505
1139,Hucín,Hucín,Revúca,049 13,Hucín,Hucín,608,BC,48.5644749,20.2982525
1140,Hudcovce,Hudcovce,Humenné,067 45,Topoľovka,Topoľovka,702,PV,48.9076171,21.7905822
1141,Hul,Hul,Nové Zámky,941 44,Hul,Hul,404,NI,48.1006983,18.2671968
1142,Humenné,Humenné,Humenné,066 01,Humenné 1,Humenné 1,702,PV,48.932454,21.9078917
1143,Huncovce,Huncovce,Kežmarok,059 92,Huncovce,Huncovce,703,PV,49.1143917,20.3767737
1144,Hunkovce,Hunkovce,Svidník,090 03,Ladomirová,Ladomirová,712,PV,49.3602837,21.6520114
1145,Hunkovce,Hunkovce,Trebišov,076 62,Parchovany,Parchovany,811,KI,48.74503,21.7497299
1146,Hurbanova Dolina,Hurbanova Dolina,Myjava,906 13,Brezová pod Bradlom,Brezová pod Bradlom,303,TC,48.7045099,17.5453647
1147,Hurbanova Ves,Hurbanova Ves,Senec,903 01,Senec,Senec,108,BL,48.1517411,17.4379096
1148,Hurbanovce,Hurbanovce,Nové Zámky,941 50,Dedinka,Dedinka,404,NI,48.0790195,18.4198711
1149,Hurbanovo,Hurbanovo,Komárno,,,Pozri zoz.ulíc s PSČ,401,NI,47.8795102,18.1958167
1150,Husák,Husák,Sobrance,072 51,Krčava,Krčava,809,KI,48.6972703,22.2866186
1151,Husarik,Husarik,Čadca,022 04,Čadca 4,Čadca 4,502,ZI,49.43855509999999,18.7897828
1152,Husiná,Husiná,Rimavská Sobota,985 42,Veľké Dravce,Veľké Dravce,609,BC,48.3410683,19.8769384
1153,Hutka,Hutka,Bardejov,086 36,Nižná Polianka,Nižná Polianka,701,PV,49.3971235,21.4306438
1154,Huty,Huty,Liptovský Mikuláš,027 32,Zuberec,Zuberec,505,ZI,49.21921010000001,19.5660387
1155,Hviezdoslavov,Hviezdoslavov,Dunajská Streda,930 41,Kvetoslavov,Kvetoslavov,201,TA,48.0674096,17.3481669
1156,Hvozdnica,Hvozdnica,Bytča,013 56,Hvozdnica,Hvozdnica,501,ZI,49.20995509999999,18.4890172
1157,Hybe,Hybe,Liptovský Mikuláš,032 31,Hybe,Hybe,505,ZI,49.0445846,19.8292041
1158,Hýľov,Hýľov,Košice-okolie,044 12,Nižný Klátov,Nižný Klátov,806,KI,48.7300441,21.1039732
1159,Chalmová,Chalmová,Prievidza,972 45,Bystričany,Bystričany,307,TC,48.66489680000001,18.4806249
1160,Chanava,Chanava,Rimavská Sobota,980 44,Lenartovce,Lenartovce,609,BC,48.3360295,20.2985721
1161,Chľaba,Chľaba,Nové Zámky,943 65,Kamenica nad Hronom,Kamenica nad Hronom,404,NI,47.8297983,18.8278526
1162,Chladná Studňa,Chladná Studňa,Poltár,985 26,Málinec,Málinec,607,BC,48.52676,19.67182
1163,Chlebnice,Chlebnice,Dolný Kubín,027 55,Dlhá nad Oravou,Dlhá nad Oravou,503,ZI,49.229726,19.4643239
1164,Chlmec,Chlmec,Humenné,067 41,Chlmec,Chlmec,702,PV,48.932454,21.9078917
1165,Chmeľnica,Chmeľnica,Stará Ľubovňa,064 01,Stará Ľubovňa,Stará Ľubovňa,710,PV,49.2959462,20.7316332
1166,Chmeľov,Chmeľov,Prešov,082 15,Chmeľov,Chmeľov,707,PV,49.0678055,21.4386341
1167,Chmeľová,Chmeľová,Bardejov,086 33,Zborov,Zborov,701,PV,49.3996721,21.2981102
1168,Chmeľovec,Chmeľovec,Prešov,082 12,Kapušany pri Prešove,Kapušany pri Prešove,707,PV,49.0833721,21.3675325
1169,Chmiňany,Chmiňany,Prešov,082 33,Chminianska Nová Ves,Chminianska Nová Ves,707,PV,49.0009078,21.0679164
1170,Chminianska Nová Ves,Chminianska Nová Ves,Prešov,082 33,Chminianska Nová Ves,Chminianska Nová Ves,707,PV,49.0020049,21.077974
1171,Chminianske Jakubovany,Chminian. Jakubovany,Prešov,082 33,Chminianska Nová Ves,Chminianska Nová Ves,707,PV,48.9911385,21.0005936
1172,Choča,Choča,Zlaté Moravce,951 76,Tesárske Mlyňany,Tesárske Mlyňany,407,NI,48.3851703,18.3912685
1173,Chocholná,Chocholná,Trenčín,913 04,Chocholná-Velčice,Chocholná-Velčice,309,TC,48.86812399999999,17.9444104
1174,Choňkovce,Choňkovce,Sobrance,072 63,Choňkovce,Choňkovce,809,KI,48.7792951,22.2433513
1175,Chorvatice,Chorvatice,Levice,935 84,Horné Semerovce,Horné Semerovce,402,NI,48.11962,18.8960215
1176,Chorvátsky Grob,Chorvátsky Grob,Senec,900 25,Chorvátsky Grob,Chorvátsky Grob,108,BL,48.2280012,17.2915955
1177,Chorváty,Chorváty,Košice-okolie,044 02,Turňa nad Bodvou,Turňa nad Bodvou,806,KI,48.566258,20.8732794
1178,Chotár,Chotár,Žarnovica,968 01,Nová Baňa,Nová Baňa,612,BC,48.44187,18.56745
1179,Chotča,Chotča,Stropkov,090 21,Chotča,Chotča,711,PV,49.20260829999999,21.6518083
1180,Chotín,Chotín,Komárno,946 31,Chotín,Chotín,401,NI,47.8035782,18.2373208
1181,Chrabrany,Chrabrany,Topoľčany,955 01,Topoľčany 1,Topoľčany 1,406,NI,48.5324706,18.1426083
1182,Chrámec,Chrámec,Rimavská Sobota,980 42,Rimavská Seč,Rimavská Seč,609,BC,48.2777343,20.1851303
1183,Chrasť,Chrasť,Komárno,946 54,Bajč,Bajč,401,NI,47.91579970000001,18.2578153
1184,Chrasť nad Hornádom,Chrasť nad Hornádom,Spišská Nová Ves,053 63,Spišský Hrušov,Spišský Hrušov,810,KI,48.92459909999999,20.7049371
1185,Chrastince,Chrastince,Veľký Krtíš,991 08,Lesenice,Lesenice,610,BC,48.0909931,19.2489818
1186,Chrastné,Chrastné,Košice-okolie,044 44,Kráľovce pri Košiciach,Kráľovce pri Koš.,806,KI,48.7918769,21.3483657
1187,Chrašťany,Chrašťany,Zlaté Moravce,951 75,Beladice,Beladice,407,NI,48.3220363,18.305516
1188,Chrenová,Chrenová,Nitra,949 01,Nitra 1,Nitra 1,403,NI,48.3098012,18.0967812
1189,Chrenovec - Brusno,Chrenovec - Brusno,Prievidza,972 32,Chrenovec,Chrenovec,307,TC,48.774939,18.7260783
1190,Chropov,Chropov,Skalica,908 64,Chropov,Chropov,206,TA,48.7732837,17.31823
1191,Chrťany,Chrťany,Veľký Krtíš,991 21,Závada,Závada,610,BC,48.2914022,19.4607128
1192,Chtelnica,Chtelnica,Piešťany,922 05,Chtelnica,Chtelnica,204,TA,48.5695959,17.6236671
1193,Chudá Lehota,Chudá Lehota,Bánovce nad Bebravou,956 38,Šišov,Šišov,301,TC,48.6470146,18.1971661
1194,Chvalová,Chvalová,Revúca,982 62,Gemerská Ves,Gemerská Ves,608,BC,48.5140591,20.1753556
1195,Chvatimech,Chvatimech,Brezno,976 81,Podbrezová,Podbrezová,603,BC,48.8065361,19.5543211
1196,Chvojnica,Chvojnica,Prievidza,972 13,Nitrianske Pravno,Nitrianske Pravno,307,TC,48.8796014,18.5615894
1197,Chvojnica,Chvojnica,Myjava,906 06,Vrbovce,Vrbovce,303,TC,48.7995075,17.4104929
1198,Chym,Chym,Košice-okolie,044 74,Perín-Chym,Perín-Chym,806,KI,48.5302579,21.1638622
1199,Chynorany,Chynorany,Partizánske,956 33,Chynorany,Chynorany,305,TC,48.6098224,18.274367
1200,Chyzerovce,Chyzerovce,Zlaté Moravce,953 01,Zlaté Moravce 1,Zlaté Moravce 1,407,NI,48.36677,18.38331
1201,Chyžné,Chyžné,Revúca,049 18,Lubeník,Lubeník,608,BC,48.6638265,20.201377
1202,Igram,Igram,Senec,900 84,Báhoň,Báhoň,108,BL,48.2856652,17.4620907
1203,Ihľany,Ihľany,Kežmarok,059 94,Holumnica,Holumnica,703,PV,49.18688179999999,20.5371962
1204,Ihráč,Ihráč,Žiar nad Hronom,967 01,Kremnica 1,Kremnica 1,613,BC,48.6556785,18.9517332
1205,Ihrište,Ihrište,Púchov,020 01,Púchov 1,Púchov 1,308,TC,49.1488765,18.3064234
1206,Iľanovo,Iľanovo,Liptovský Mikuláš,031 01,Liptovský Mikuláš 1,Liptovský Mikuláš 1,505,ZI,49.0527233,19.6184603
1207,Ilava,Ilava,Ilava,019 01,Ilava,Ilava,302,TC,48.9962271,18.2332775
1208,Iliaš,Iliaš,Banská Bystrica,974 05,Banská Bystrica 5,Banská Bystrica 5,601,BC,48.7032,19.14296
1209,Iliašov,Iliašov,Veľký Krtíš,991 07,Slovenské Ďarmoty,Slovenské Ďarmoty,610,BC,48.09855,19.2676
1210,Iliašovce,Iliašovce,Spišská Nová Ves,053 11,Smižany,Smižany,810,KI,48.9925358,20.5256298
1211,Iliavka,Iliavka,Ilava,019 01,Ilava,Ilava,302,TC,48.95523799999999,18.2657803
1212,Ilija,Ilija,Banská Štiavnica,969 01,Banská Štiavnica 1,Banská Štiavnica 1,602,BC,48.4191843,18.8993974
1213,Imeľ,Imeľ,Komárno,946 52,Imeľ,Imeľ,401,NI,47.90505049999999,18.1356744
1214,Imrov Kopec,Imrov Kopec,Veľký Krtíš,991 21,Závada,Závada,610,BC,48.3302223,19.434418
1215,Iňa,Iňa,Levice,935 35,Tehla,Tehla,402,NI,48.1724238,18.4181389
1216,Iňačovce,Iňačovce,Michalovce,072 11,Čečehov,Čečehov,807,KI,48.6982858,22.0290347
1217,Inovce,Inovce,Sobrance,072 64,Podhoroď,Podhoroď,809,KI,48.8220524,22.3561468
1218,Ipeľ,Ipeľ,Poltár,985 26,Málinec,Málinec,607,BC,48.56738559999999,19.7104315
1219,Ipeľka,Ipeľka,Lučenec,985 41,Šávoľ,Šávoľ,606,BC,48.3345811,19.81457
1220,Ipeľské Predmostie,Ipeľské Predmostie,Veľký Krtíš,991 10,Veľká Ves nad Ipľom,Veľká Ves nad Ipľom,610,BC,48.0635712,19.0573319
1221,Ipeľské Úľany,Ipeľské Úľany,Levice,935 82,Plášťovce,Plášťovce,402,NI,48.1257062,19.051118
1222,Ipeľský Sokolec,Ipeľský Sokolec,Levice,935 75,Ipeľský Sokolec,Ipeľský Sokolec,402,NI,48.0174469,18.8056619
1223,Istebné,Istebné,Dolný Kubín,027 53,Istebné nad Oravou,Istebné nad Oravou,503,ZI,49.21152619999999,19.2214836
1224,Istebník,Istebník,Trenčín,911 05,Trenčín 5,Trenčín 5,309,TC,48.9029031,18.0316046
1225,Ivachnová,Ivachnová,Ružomberok,034 83,Liptovská Teplá,Liptovská Teplá,508,ZI,49.0935989,19.4083211
1226,Ivančiná,Ivančiná,Turčianske Teplice,038 45,Malý Čepčín,Malý Čepčín,509,ZI,48.9113602,18.8110057
1227,Ivanice,Ivanice,Rimavská Sobota,980 42,Rimavská Seč,Rimavská Seč,609,BC,48.3281786,20.2367251
1228,Ivanišovo,Ivanišovo,Detva,985 51,Podkriváň,Podkriváň,604,BC,48.52644,19.49123
1229,Ivanka pri Dunaji,Ivanka pri Dunaji,Senec,900 28,Ivanka pri Dunaji,Ivanka pri Dunaji,108,BL,48.1897372,17.2557153
1230,Ivanka pri Nitre,Ivanka pri Nitre,Nitra,951 12,Ivanka pri Nitre,Ivanka pri Nitre,403,NI,48.24170849999999,18.1156078
1231,Ivanovce,Ivanovce,Trenčín,913 05,Melčice-Lieskové,Melčice-Lieskové,309,TC,48.8304234,17.9029197
1232,Iviny,Iviny,Detva,962 12,Detva-sídlisko,Detva-sídlisko,604,BC,48.61555,19.39208
1233,Iža,Iža,Komárno,946 39,Iža,Iža,401,NI,47.7492276,18.2260565
1234,Ižipovce,Ižipovce,Liptovský Mikuláš,032 23,Liptovská Sielnica,Liptovská Sielnica,505,ZI,49.14044570000001,19.4911632
1235,Ižkovce,Ižkovce,Michalovce,076 72,Vojany,Vojany,807,KI,48.5558664,21.9533173
1236,Ižop,Ižop,Dunajská Streda,932 01,Veľký Meder,Veľký Meder,201,TA,47.848445,17.7392654
1237,Jabloň,Jabloň,Humenné,067 13,Rokytov pri Humennom,Rokytov pri Humennom,702,PV,49.06604,21.9797921
1238,Jablonec,Jablonec,Pezinok,900 86,Budmerice,Budmerice,107,BL,48.33418210000001,17.4464818
1239,Jablonica,Jablonica,Senica,906 32,Jablonica,Jablonica,205,TA,48.60677930000001,17.4207721
1240,Jablonka,Jablonka,Myjava,906 21,Jablonka,Jablonka,303,TC,48.7258494,17.6087032
1241,Jablonov,Jablonov,Levoča,053 03,Jablonov pri Levoči,Jablonov pri Levoči,704,PV,49.01736150000001,20.7191622
1242,Jablonov nad Turňou,Jablonov nad Turňou,Rožňava,049 43,Jablonov nad Turňou,Jablonov nad Turňou,808,KI,48.5932808,20.6728556
1243,Jabloňovce,Jabloňovce,Levice,935 06,Jabloňovce,Jabloňovce,402,NI,48.31674460000001,18.7873925
1244,Jablonové,Jablonové,Malacky,900 54,Jablonové,Jablonové,106,BL,48.348495,17.0964448
1245,Jablonové,Jablonové,Bytča,013 52,Súľov,Súľov,501,ZI,49.2225249,18.5588083
1246,Jabriková,Jabriková,Banská Bystrica,976 34,Tajov,Tajov,601,BC,48.748,19.06786
1247,Jacovce,Jacovce,Topoľčany,956 21,Jacovce,Jacovce,406,NI,48.5929823,18.1340254
1248,Jahodná,Jahodná,Dunajská Streda,930 21,Jahodná pri Dunajskej Strede,Jahodná pri D.Strede,201,TA,48.0513899,17.7032223
1249,Jahodníky,Jahodníky,Martin,036 01,Martin 1,Martin 1,506,ZI,49.05506,18.91569
1250,Jaklovce,Jaklovce,Gelnica,055 61,Jaklovce,Jaklovce,801,KI,48.8735127,20.9918804
1251,Jakovany,Jakovany,Sabinov,083 01,Sabinov,Sabinov,708,PV,49.1027707,21.0977919
1252,Jakub,Jakub,Banská Bystrica,974 01,Banská Bystrica 1,Banská Bystrica 1,601,BC,48.76605,19.13864
1253,Jakubany,Jakubany,Stará Ľubovňa,065 12,Jakubany,Jakubany,710,PV,49.2465609,20.6949466
1254,Jakubov,Jakubov,Malacky,900 63,Jakubov,Jakubov,106,BL,48.4363434,17.0183089
1255,Jakubova Voľa,Jakubova Voľa,Sabinov,082 56,Pečovská Nová Ves,Pečovská Nová Ves,708,PV,49.1027707,21.0977919
1256,Jakubovany,Jakubovany,Liptovský Mikuláš,032 04,Liptovský Ondrej,Liptovský Ondrej,505,ZI,49.1031035,19.7247976
1257,Jakubovany,Jakubovany,Sabinov,083 01,Sabinov,Sabinov,708,PV,49.1027707,21.0977919
1258,Jakušovce,Jakušovce,Stropkov,090 31,Kolbovce,Kolbovce,711,PV,49.15589,21.7508818
1259,Jalakšová,Jalakšová,Levice,935 03,Bátovce,Bátovce,402,NI,48.2803716,18.7448505
1260,Jalná,Jalná,Žiar nad Hronom,966 11,Trnavá Hora,Trnavá Hora,613,BC,48.5856399,18.9555911
1261,Jalová,Jalová,Snina,067 61,Stakčín,Stakčín,709,PV,49.03916479999999,22.2350445
1262,Jalovec,Jalovec,Liptovský Mikuláš,032 21,Bobrovec,Bobrovec,505,ZI,49.136241,19.629548
1263,Jalovec,Jalovec,Prievidza,972 31,Ráztočno,Ráztočno,307,TC,48.7718578,18.7437491
1264,Jalšové,Jalšové,Hlohovec,922 31,Sokolovce,Sokolovce,203,TA,48.5075483,17.8297078
1265,Jalšovík,Jalšovík,Krupina,962 41,Bzovík,Bzovík,605,BC,48.3518509,19.0670433
1266,Jamník,Jamník,Liptovský Mikuláš,033 01,Liptovský Hrádok 1,Liptovský Hrádok 1,505,ZI,49.0720992,19.7097353
1267,Jamník,Jamník,Spišská Nová Ves,053 22,Odorín,Odorín,810,KI,48.9452647,20.5636668
1268,Janice,Janice,Rimavská Sobota,980 42,Rimavská Seč,Rimavská Seč,609,BC,48.27876879999999,20.2142076
1269,Janík,Janík,Košice-okolie,044 05,Janík,Janík,806,KI,48.5543882,20.9724833
1270,Janíkovce,Janíkovce,Nitra,949 07,Nitra 7,Nitra 7,403,NI,48.2861955,18.1383259
1271,Janíky,Janíky,Dunajská Streda,930 39,Zlaté Klasy,Zlaté Klasy,201,TA,48.1415246,17.3914064
1272,Jankovce,Jankovce,Humenné,067 24,Lukačovce pri Humennom,Lukačovce pri Humen.,702,PV,49.0286105,21.9467021
1273,Jánošíková,Jánošíková,Senec,900 42,Dunajská Lužná,Dunajská Lužná,108,BL,48.214098,17.3923742
1274,Jánošíkovo na Ostrove,Jánošíkovo na Ostrov,Dunajská Streda,930 10,Dolný Štál,Dolný Štál,201,TA,47.90923,17.75631
1275,Jánošovka,Jánošovka,Brezno,976 52,Čierny Balog,Čierny Balog,603,BC,48.7427334,19.6673442
1276,Janov,Janov,Prešov,082 42,Bzenov,Bzenov,707,PV,48.9386227,21.1782088
1277,Janova Lehota,Janova Lehota,Žiar nad Hronom,966 24,Janova Lehota,Janova Lehota,613,BC,48.6592237,18.7824115
1278,Janova Ves,Janova Ves,Partizánske,958 44,Klátova Nová Ves,Klátova Nová Ves,305,TC,48.5620284,18.3194744
1279,Janovce,Janovce,Bardejov,086 41,Raslavice,Raslavice,701,PV,49.1906313,21.3038641
1280,Jánovce,Jánovce,Poprad,059 13,Jánovce pri Poprade,Jánovce pri Poprade,706,PV,49.0174181,20.4301496
1281,Jánovce,Jánovce,Galanta,925 22,Veľké Úľany,Veľké Úľany,202,TA,48.1769772,17.5315571
1282,Janovík,Janovík,Prešov,082 03,Lemešany,Lemešany,707,PV,48.8359404,21.2855156
1283,Jarabá,Jarabá,Brezno,977 01,Brezno,Brezno,603,BC,48.8897606,19.6888747
1284,Jarabina,Jarabina,Stará Ľubovňa,065 31,Jarabina,Jarabina,710,PV,49.3348315,20.6561438
1285,Jarná,Jarná,Trnava,919 43,Cífer,Cífer,207,TA,48.3220824,17.4591975
1286,Jarok,Jarok,Nitra,951 48,Jarok,Jarok,403,NI,48.2773889,17.9604137
1287,Jarok,Jarok,Levice,937 01,Želiezovce,Želiezovce,402,NI,48.03119,18.69088
1288,Jarovnice,Jarovnice,Sabinov,082 63,Jarovnice,Jarovnice,708,PV,49.056104,21.0600338
1289,Jasenica,Jasenica,Považská Bystrica,018 17,Jasenica,Jasenica,306,TC,49.17979159999999,18.4502389
1290,Jasenie,Jasenie,Brezno,976 75,Jasenie,Jasenie,603,BC,48.8356453,19.4604621
1291,Jasenov,Jasenov,Humenné,066 01,Humenné 1,Humenné 1,702,PV,48.9071362,21.9010859
1292,Jasenov,Jasenov,Sobrance,072 42,Úbrež,Úbrež,809,KI,48.7966158,22.1685072
1293,Jasenová,Jasenová,Dolný Kubín,026 01,Dolný Kubín 1,Dolný Kubín 1,503,ZI,49.176072,19.294667
1294,Jasenovce,Jasenovce,Vranov nad Topľou,094 05,Holčíkovce,Holčíkovce,713,PV,48.9955484,21.7453361
1295,Jasenové,Jasenové,Žilina,013 19,Kľače,Kľače,511,ZI,49.1093638,18.6400797
1296,Jasenovo,Jasenovo,Detva,962 05,Hriňová,Hriňová,604,BC,48.565969,19.513645
1297,Jasenovo,Jasenovo,Turčianske Teplice,038 22,Slovenské Pravno,Slovenské Pravno,509,ZI,48.8787143,18.7244454
1298,Jasenovská,Jasenovská,Námestovo,029 57,Oravská Lesná,Oravská Lesná,507,ZI,49.36018,19.17123
1299,Jaslovce,Jaslovce,Trnava,919 30,Jaslovské Bohunice,Jaslovské Bohunice,207,TA,48.4724779,17.6506303
1300,Jaslovské Bohunice,Jaslovské Bohunice,Trnava,919 30,Jaslovské Bohunice,Jaslovské Bohunice,207,TA,48.4761986,17.6473997
1301,Jaslovské Bohunice-Atómová elektráreň,Jas.Bohunice-At.el.,Trnava,919 31,Jaslovské Bohunice-atómová elektráreň,Jas.Bohunice-at.el.,207,TA,48.3709108,17.5833218
1302,Jasov,Jasov,Košice-okolie,044 23,Jasov,Jasov,806,KI,48.6832741,20.9741976
1303,Jasová,Jasová,Nové Zámky,941 34,Jasová pri Nových Zámkoch,Jasová pri N.Zámkoch,404,NI,47.9860254,18.3993154
1304,Jastrabá,Jastrabá,Žiar nad Hronom,967 01,Kremnica 1,Kremnica 1,613,BC,48.6330985,18.9332965
1305,Jastrabie Kračany,Jastrabie Kračany,Dunajská Streda,930 03,Kráľovičove Kračany,Kráľovičove Kračany,201,TA,48.0025594,17.5483183
1306,Jastrabie nad Topľou,Jastrabie nad Topľou,Vranov nad Topľou,094 35,Soľ,Soľ,713,PV,48.9401445,21.6043843
1307,Jastrabie pri Michalovciach,Jastrabie pri Michal,Michalovce,072 11,Čečehov,Čečehov,807,KI,48.7556769,21.9183859
1308,Jašov Vrch,Jašov Vrch,Detva,962 25,Slatinské Lazy,Slatinské Lazy,604,BC,48.502,19.35342
1309,Jatov,Jatov,Nové Zámky,941 10,Tvrdošovce,Tvrdošovce,404,NI,48.13241439999999,18.0239525
1310,Javorec,Javorec,Senica,906 05,Sobotište,Sobotište,205,TA,48.76954,17.41339
1311,Javorina,Javorina,Poprad,059 56,Javorina,Javorina,706,PV,49.2685065,20.1446301
1312,Javorina,Javorina,Brezno,976 53,Lom nad Rimavicou,Lom nad Rimavicou,603,BC,48.6437661,19.7073984
1313,Javorinka,Javorinka,Galanta,925 01,Matúškovo,Matúškovo,202,TA,48.16949,17.71071
